========================================
= 物品ID数据，由灰色枫叶GM工具自动生成 =
========================================
物品ID:100000001 名字:瑟库拉斯之剑      STR值：STR_SWORD_CIRCULOUS
物品ID:152205714 名字:图案:坚固的强化皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_N_C2_P_48A
物品ID:152205715 名字:图案:坚固的强化皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_N_C2_P_48A
物品ID:152205716 名字:图案:坚固的强化皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_N_C2_P_48A
物品ID:152205717 名字:图案:坚固的强化皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_N_C2_P_48A
物品ID:152205718 名字:图案:坚固的强化皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_N_C2_P_48A
物品ID:152205719 名字:图案:坚固的强化皮革腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_48A
物品ID:152205720 名字:图案:坚固的强化皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_N_C2_P_48A
物品ID:152205721 名字:图案:匠人之坚固的强化皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_N_R2_P_48A
物品ID:152205722 名字:图案:匠人之坚固的强化皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_N_R2_P_48A
物品ID:152205723 名字:图案:匠人之坚固的强化皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_N_R2_P_48A
物品ID:152205724 名字:图案:匠人之坚固的强化皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_N_R2_P_48A
物品ID:152205725 名字:图案:匠人之坚固的强化皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_N_R2_P_48A
物品ID:152205726 名字:图案:匠人之坚固的强化皮革腰带      STR值：STR_REC_D_TA_BELT_D_N_R2_P_48A
物品ID:152205727 名字:图案:匠人之坚固的强化皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_N_R2_P_48A
物品ID:152205728 名字:图案:达人之坚固的强化皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_N_L2_P_48A
物品ID:152205729 名字:图案:达人之坚固的强化皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_N_L2_P_48A
物品ID:152205730 名字:图案:达人之坚固的强化皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_N_L2_P_48A
物品ID:152205731 名字:图案:达人之坚固的强化皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_N_L2_P_48A
物品ID:152205732 名字:图案:达人之坚固的强化皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_N_L2_P_48A
物品ID:152205733 名字:图案:达人之坚固的强化皮革腰带      STR值：STR_REC_D_TA_BELT_D_N_L2_P_48A
物品ID:152205734 名字:图案:达人之坚固的强化皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_N_L2_P_48A
物品ID:152205735 名字:图案:活性之皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_N_R1_S_42A
物品ID:152205736 名字:图案:活性之皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_N_R1_S_42A
物品ID:152205737 名字:图案:白虎皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_N_R1_S_42A
物品ID:152205738 名字:图案:白虎皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_N_R1_S_42A
物品ID:152205739 名字:图案:传说的马斯托之皮革腰带      STR值：STR_REC_D_TA_BELT_D_N_L1_S_42A
物品ID:152205740 名字:图案:纳哈斯之皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_N_L1_S_44A
物品ID:152205741 名字:龙语图案:经过硝制的厚龙族之皮      STR值：STR_REC_D_TA_TA_PART_D_DRA_LT_301A
物品ID:152205742 名字:龙语图案:厚龙族之鳞碎片      STR值：STR_REC_D_TA_TA_PART_D_DRA_LT_302A
物品ID:152205743 名字:龙语图案:乾龙之皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_D_R2_P_30A
物品ID:152205744 名字:龙语图案:乾龙之皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_D_R2_P_30A
物品ID:152205745 名字:龙语图案:乾龙之皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_D_R2_P_30A
物品ID:152205746 名字:龙语图案:乾龙之皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_D_R2_P_30A
物品ID:152205747 名字:龙语图案:乾龙之皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_D_R2_P_30A
物品ID:152205748 名字:龙语图案:乾龙之皮革腰带      STR值：STR_REC_D_TA_BELT_D_D_R2_P_30A
物品ID:152205749 名字:龙语图案:乾龙之皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_D_R2_P_30A
物品ID:152205750 名字:龙语图案:经过硝制的坚硬的龙族之皮      STR值：STR_REC_D_TA_TA_PART_D_DRA_LT_401A
物品ID:152205751 名字:龙语图案:坚硬的龙族之鳞碎片      STR值：STR_REC_D_TA_TA_PART_D_DRA_LT_402A
物品ID:152205752 名字:龙语图案:黑龙之皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_D_R2_P_40A
物品ID:152205753 名字:龙语图案:黑龙之皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_D_R2_P_40A
物品ID:152205754 名字:龙语图案:黑龙之皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_D_R2_P_40A
物品ID:152205755 名字:龙语图案:黑龙之皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_D_R2_P_40A
物品ID:152205756 名字:龙语图案:黑龙之皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_D_R2_P_40A
物品ID:152205757 名字:龙语图案:黑龙之皮革腰带      STR值：STR_REC_D_TA_BELT_D_D_R2_P_40A
物品ID:152205758 名字:龙语图案:黑龙之皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_D_R2_P_40A
物品ID:152205759 名字:龙语图案:黑龙王之皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_D_L2_P_40A
物品ID:152205760 名字:龙语图案:黑龙王之皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_D_L2_P_40A
物品ID:152205761 名字:龙语图案:黑龙王之皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_D_L2_P_40A
物品ID:152205762 名字:龙语图案:黑龙王之皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_D_L2_P_40A
物品ID:152205763 名字:龙语图案:黑龙王之皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_D_L2_P_40A
物品ID:152205764 名字:龙语图案:黑龙王之皮革腰带      STR值：STR_REC_D_TA_BELT_D_D_L2_P_40A
物品ID:152205765 名字:龙语图案:黑龙王之皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_D_L2_P_40A
物品ID:152205766 名字:龙语图案:经过硝制的坚固的龙族之皮      STR值：STR_REC_D_TA_TA_PART_D_DRA_LT_501A
物品ID:152205767 名字:龙语图案:坚固的龙族之鳞碎片      STR值：STR_REC_D_TA_TA_PART_D_DRA_LT_502A
物品ID:152205768 名字:龙语图案:暗龙之皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_D_R2_P_50A
物品ID:152205769 名字:龙语图案:暗龙之皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_D_R2_P_50A
物品ID:152205770 名字:龙语图案:暗龙之皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_D_R2_P_50A
物品ID:152205771 名字:龙语图案:暗龙之皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_D_R2_P_50A
物品ID:152205772 名字:龙语图案:暗龙之皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_D_R2_P_50A
物品ID:152205773 名字:龙语图案:暗龙之皮革腰带      STR值：STR_REC_D_TA_BELT_D_D_R2_P_50A
物品ID:152205774 名字:龙语图案:暗龙之皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_D_R2_P_50A
物品ID:152205775 名字:龙语图案:暗龙王之皮靴      STR值：STR_REC_D_TA_LT_SHOES_D_D_L2_P_50A
物品ID:152205776 名字:龙语图案:暗龙王之皮革手套      STR值：STR_REC_D_TA_LT_GLOVE_D_D_L2_P_50A
物品ID:152205777 名字:龙语图案:暗龙王之皮革护肩      STR值：STR_REC_D_TA_LT_SHOUL_D_D_L2_P_50A
物品ID:152205778 名字:龙语图案:暗龙王之皮革护腿      STR值：STR_REC_D_TA_LT_PANTS_D_D_L2_P_50A
物品ID:152205779 名字:龙语图案:暗龙王之皮革坎肩      STR值：STR_REC_D_TA_LT_TORSO_D_D_L2_P_50A
物品ID:152205780 名字:龙语图案:暗龙王之皮革腰带      STR值：STR_REC_D_TA_BELT_D_D_L2_P_50A
物品ID:152205781 名字:龙语图案:暗龙王之皮帽      STR值：STR_REC_D_TA_LT_HEAD_D_D_L2_P_50A
物品ID:152205782 名字:图案:纳帕盖里亚线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH1_01A
物品ID:152205783 名字:图案:纳帕盖里亚裁缝线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH1_02A
物品ID:152205784 名字:图案:纳帕盖里亚棉      STR值：STR_REC_D_TA_TA_PART_D_CLOTH1_03A
物品ID:152205785 名字:图案:纳帕盖里亚长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_13A
物品ID:152205786 名字:图案:纳帕盖里亚长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_13A
物品ID:152205787 名字:图案:纳帕盖里亚长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_13A
物品ID:152205788 名字:图案:纳帕盖里亚长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_13A
物品ID:152205789 名字:图案:纳帕盖里亚腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_13B
物品ID:152205790 名字:图案:纳帕盖里亚长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_13A
物品ID:152205791 名字:图案:强化纳帕盖里亚长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_18A
物品ID:152205792 名字:图案:强化纳帕盖里亚长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_18A
物品ID:152205793 名字:图案:强化纳帕盖里亚长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_C2_P_18A
物品ID:152205794 名字:图案:强化纳帕盖里亚长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_18A
物品ID:152205795 名字:图案:强化纳帕盖里亚长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_18A
物品ID:152205796 名字:图案:强化纳帕盖里亚腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_18B
物品ID:152205797 名字:图案:强化纳帕盖里亚长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_18A
物品ID:152205798 名字:图案:黄麻线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH2_01A
物品ID:152205799 名字:图案:黄麻裁缝线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH2_02A
物品ID:152205800 名字:图案:黄麻棉      STR值：STR_REC_D_TA_TA_PART_D_CLOTH2_03A
物品ID:152205801 名字:图案:黄麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_23A
物品ID:152205802 名字:图案:黄麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_23A
物品ID:152205803 名字:图案:黄麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_C2_P_23A
物品ID:152205804 名字:图案:黄麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_23A
物品ID:152205805 名字:图案:黄麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_23A
物品ID:152205806 名字:图案:黄麻腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_23B
物品ID:152205807 名字:图案:黄麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_23A
物品ID:152205808 名字:图案:匠人之黄麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_R2_P_23A
物品ID:152205809 名字:图案:匠人之黄麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_R2_P_23A
物品ID:152205810 名字:图案:匠人之黄麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R2_P_23A
物品ID:152205811 名字:图案:匠人之黄麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_R2_P_23A
物品ID:152205812 名字:图案:匠人之黄麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R2_P_23A
物品ID:152205813 名字:图案:匠人之黄麻腰带      STR值：STR_REC_D_TA_BELT_D_N_R2_P_23B
物品ID:152205814 名字:图案:匠人之黄麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_R2_P_23A
物品ID:152205815 名字:图案:强化黄麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_28A
物品ID:152205816 名字:图案:强化黄麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_28A
物品ID:152205817 名字:图案:强化黄麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_C2_P_28A
物品ID:152205818 名字:图案:强化黄麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_28A
物品ID:152205819 名字:图案:强化黄麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_28A
物品ID:152205820 名字:图案:强化黄麻腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_28B
物品ID:152205821 名字:图案:强化黄麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_28A
物品ID:152205822 名字:图案:匠人之强化黄麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_R2_P_28A
物品ID:152205823 名字:图案:匠人之强化黄麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_R2_P_28A
物品ID:152205824 名字:图案:匠人之强化黄麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R2_P_28A
物品ID:152205825 名字:图案:匠人之强化黄麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_R2_P_28A
物品ID:152205826 名字:图案:匠人之强化黄麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R2_P_28A
物品ID:152205827 名字:图案:匠人之强化黄麻腰带      STR值：STR_REC_D_TA_BELT_D_N_R2_P_28B
物品ID:152205828 名字:图案:匠人之强化黄麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_R2_P_28A
物品ID:152205829 名字:图案:长毛雪人之长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R1_S_22A
物品ID:152205830 名字:图案:长毛雪人之长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R1_S_22A
物品ID:152205831 名字:图案:黑湖水之腰带      STR值：STR_REC_D_TA_BELT_D_N_R1_S_26B
物品ID:152205832 名字:图案:黑湖水之长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_R1_S_26A
物品ID:152205833 名字:图案:大麻线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH3_01A
物品ID:152205834 名字:图案:大麻裁缝线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH3_02A
物品ID:152205835 名字:图案:大麻棉      STR值：STR_REC_D_TA_TA_PART_D_CLOTH3_03A
物品ID:152205836 名字:图案:大麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_33A
物品ID:152205837 名字:图案:大麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_33A
物品ID:152205838 名字:图案:大麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_C2_P_33A
物品ID:152205839 名字:图案:大麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_33A
物品ID:152205840 名字:图案:大麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_33A
物品ID:152205841 名字:图案:大麻腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_33B
物品ID:152205842 名字:图案:大麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_33A
物品ID:152205843 名字:图案:匠人之大麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_R2_P_33A
物品ID:152205844 名字:图案:匠人之大麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_R2_P_33A
物品ID:152205845 名字:图案:匠人之大麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R2_P_33A
物品ID:152205846 名字:图案:匠人之大麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_R2_P_33A
物品ID:152205847 名字:图案:匠人之大麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R2_P_33A
物品ID:152205848 名字:图案:匠人之大麻腰带      STR值：STR_REC_D_TA_BELT_D_N_R2_P_33B
物品ID:152205849 名字:图案:匠人之大麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_R2_P_33A
物品ID:152205850 名字:图案:达人之大麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_L2_P_33A
物品ID:152205851 名字:图案:达人之大麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_L2_P_33A
物品ID:152205852 名字:图案:达人之大麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_L2_P_33A
物品ID:152205853 名字:图案:达人之大麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_L2_P_33A
物品ID:152205854 名字:图案:达人之大麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_L2_P_33A
物品ID:152205855 名字:图案:达人之大麻腰带      STR值：STR_REC_D_TA_BELT_D_N_L2_P_33B
物品ID:152205856 名字:图案:达人之大麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_L2_P_33A
物品ID:152205857 名字:图案:强化大麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_38A
物品ID:152205858 名字:图案:强化大麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_38A
物品ID:152205859 名字:图案:强化大麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_C2_P_38A
物品ID:152205860 名字:图案:强化大麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_38A
物品ID:152205861 名字:图案:强化大麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_38A
物品ID:152205862 名字:图案:强化大麻腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_38B
物品ID:152205863 名字:图案:强化大麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_38A
物品ID:152205864 名字:图案:匠人之强化大麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_R2_P_38A
物品ID:152205865 名字:图案:匠人之强化大麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_R2_P_38A
物品ID:152205866 名字:图案:匠人之强化大麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R2_P_38A
物品ID:152205867 名字:图案:匠人之强化大麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_R2_P_38A
物品ID:152205868 名字:图案:匠人之强化大麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R2_P_38A
物品ID:152205869 名字:图案:匠人之强化大麻腰带      STR值：STR_REC_D_TA_BELT_D_N_R2_P_38B
物品ID:152205870 名字:图案:匠人之强化大麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_R2_P_38A
物品ID:152205871 名字:图案:达人之强化大麻长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_L2_P_38A
物品ID:152205872 名字:图案:达人之强化大麻长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_L2_P_38A
物品ID:152205873 名字:图案:达人之强化大麻长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_L2_P_38A
物品ID:152205874 名字:图案:达人之强化大麻长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_L2_P_38A
物品ID:152205875 名字:图案:达人之强化大麻长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_L2_P_38A
物品ID:152205876 名字:图案:达人之强化大麻腰带      STR值：STR_REC_D_TA_BELT_D_N_L2_P_38B
物品ID:152205877 名字:图案:达人之强化大麻长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_L2_P_38A
物品ID:152205878 名字:图案:暴雪之长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R1_S_33A
物品ID:152205879 名字:图案:暴雪长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_R1_S_33A
物品ID:152205880 名字:图案:冤魂之长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_R1_S_37A
物品ID:152205881 名字:图案:冤魂之长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_R1_S_37A
物品ID:152205882 名字:图案:酷寒之长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_L1_S_40A
物品ID:152205883 名字:图案:酷寒之长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_L1_S_40A
物品ID:152205884 名字:图案:阿纳斯线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH4_01A
物品ID:152205885 名字:图案:阿纳斯裁缝线      STR值：STR_REC_D_TA_TA_PART_D_CLOTH4_02A
物品ID:152205886 名字:图案:阿纳斯棉      STR值：STR_REC_D_TA_TA_PART_D_CLOTH4_03A
物品ID:152205887 名字:图案:阿纳斯长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_43A
物品ID:152205888 名字:图案:阿纳斯长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_43A
物品ID:152205889 名字:图案:阿纳斯长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_C2_P_43A
物品ID:152205890 名字:图案:阿纳斯长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_43A
物品ID:152205891 名字:图案:阿纳斯长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_43A
物品ID:152205892 名字:图案:阿纳斯腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_43B
物品ID:152205893 名字:图案:阿纳斯长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_43A
物品ID:152205894 名字:图案:匠人之阿纳斯长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_R2_P_43A
物品ID:152205895 名字:图案:匠人之阿纳斯长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_R2_P_43A
物品ID:152205896 名字:图案:匠人之阿纳斯长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R2_P_43A
物品ID:152205897 名字:图案:匠人之阿纳斯长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_R2_P_43A
物品ID:152205898 名字:图案:匠人之阿纳斯长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R2_P_43A
物品ID:152205899 名字:图案:匠人之阿纳斯腰带      STR值：STR_REC_D_TA_BELT_D_N_R2_P_43B
物品ID:152205900 名字:图案:匠人之阿纳斯长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_R2_P_43A
物品ID:152205901 名字:图案:达人之阿纳斯长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_L2_P_43A
物品ID:152205902 名字:图案:达人之阿纳斯长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_L2_P_43A
物品ID:152205903 名字:图案:达人之阿纳斯长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_L2_P_43A
物品ID:152205904 名字:图案:达人之阿纳斯长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_L2_P_43A
物品ID:152205905 名字:图案:达人之阿纳斯长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_L2_P_43A
物品ID:152205906 名字:图案:达人之阿纳斯腰带      STR值：STR_REC_D_TA_BELT_D_N_L2_P_43B
物品ID:152205907 名字:图案:达人之阿纳斯长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_L2_P_43A
物品ID:152205908 名字:图案:强化阿纳斯长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_C2_P_48A
物品ID:152205909 名字:图案:强化阿纳斯长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_C2_P_48A
物品ID:152205910 名字:图案:强化阿纳斯长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_C2_P_48A
物品ID:152205911 名字:图案:强化阿纳斯长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_C2_P_48A
物品ID:152205912 名字:图案:强化阿纳斯长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_C2_P_48A
物品ID:152205913 名字:图案:强化阿纳斯腰带      STR值：STR_REC_D_TA_BELT_D_N_C2_P_48B
物品ID:152205914 名字:图案:强化阿纳斯长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_C2_P_48A
物品ID:152205915 名字:图案:匠人之强化阿纳斯长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_R2_P_48A
物品ID:152205916 名字:图案:匠人之强化阿纳斯长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_R2_P_48A
物品ID:152205917 名字:图案:匠人之强化阿纳斯长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R2_P_48A
物品ID:152205918 名字:图案:匠人之强化阿纳斯长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_R2_P_48A
物品ID:152205919 名字:图案:匠人之强化阿纳斯长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R2_P_48A
物品ID:152205920 名字:图案:匠人之强化阿纳斯腰带      STR值：STR_REC_D_TA_BELT_D_N_R2_P_48B
物品ID:152205921 名字:图案:匠人之强化阿纳斯长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_R2_P_48A
物品ID:152205922 名字:图案:达人之强化阿纳斯长袍鞋子      STR值：STR_REC_D_TA_RB_SHOES_D_N_L2_P_48A
物品ID:152205923 名字:图案:达人之强化阿纳斯长袍手套      STR值：STR_REC_D_TA_RB_GLOVE_D_N_L2_P_48A
物品ID:152205924 名字:图案:达人之强化阿纳斯长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_L2_P_48A
物品ID:152205925 名字:图案:达人之强化阿纳斯长袍下衣      STR值：STR_REC_D_TA_RB_PANTS_D_N_L2_P_48A
物品ID:152205926 名字:图案:达人之强化阿纳斯长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_L2_P_48A
物品ID:152205927 名字:图案:达人之强化阿纳斯腰带      STR值：STR_REC_D_TA_BELT_D_N_L2_P_48B
物品ID:152205928 名字:图案:达人之强化阿纳斯长袍头巾      STR值：STR_REC_D_TA_RB_HEAD_D_N_L2_P_48A
物品ID:152205929 名字:图案:圣火之腰带      STR值：STR_REC_D_TA_BELT_D_N_R1_S_42B
物品ID:152205930 名字:图案:圣火之长袍上衣      STR值：STR_REC_D_TA_RB_TORSO_D_N_R1_S_42A
物品ID:152205931 名字:图案:艾卡之长袍护肩      STR值：STR_REC_D_TA_RB_SHOUL_D_N_R1_S_45A
